;;life and good health;life and good health;education, skill-building and knowledge;education, skill-building and knowledge;education, skill-building and knowledge;education, skill-building and knowledge;labour and financial inclusion;labour and financial inclusion;labour and financial inclusion;labour and financial inclusion;participation in decisionmaking;participation in decisionmaking;participation in decisionmaking
;GGPI;fraction of life expectancy at birth spent in good health;fraction of life expectancy at birth spent in good health;population with completed secondary education or higher;population with completed secondary education or higher;youth not in education, employment or training ;youth not in education, employment or training ;labour force participation rate among prime-working-age individuals who are living as part of a household comprising couple and at least one child under age 6;labour force participation rate among prime-working-age individuals who are living as part of a household comprising couple and at least one child under age 6;account ownership at a financial institution or with a mobile-money-service provider ;account ownership at a financial institution or with a mobile-money-service provider ;share of seats held by women;share of seats held by women;
country;value;female;male;female;male;female;male;female;male;female;male;in parliament;in local government;Share of managerial positions held by women
Ecuador;0.751;86.04237365;88.60486109;45.16999817;45.74000168;27.15;10.57;59.3;99.4;57.95;70.59;38.68613139;27.2;37.77021299
Estonia;0.774;86.82773115;88.88421713;86.11192322;85.33274841;9.72;12.12;53.7;96.4;99.6;99.12;27.72277228;29.5;41.17813801
Germany;0.78;85.05842944;88.49568211;80.73567963;86.80674744;7.66;7.39;70.1;94.2;100;99.95;35.52795031;30.3;29.21174652
Greece;0.703;85.99764565;88.83279141;62.29288101;68.49983215;12.03;12.07;69.6;95.9;93.43;96.33;21;21.8;29.59962597
Honduras;0.716;86.52060869;88.65543784;28.34869203;24.50313996;40.93;12.24;50.6;94.9;28.85;48.56;27.34375;38.9;40.08833246
Hungary;0.718;87.02457416;88.87802578;76.37225342;84.1618576;13.17;8.18;76.5;97.5;86.88;89.73;13.06532663;30.5;36.59713271
Ireland;0.781;85.57072671;88.18377335;75.70702678;70.27574585;6.83;8.6;71.8;92.9;99.53;99.8;27.39726027;23.9;38.00951421
Israel;0.714;86.23160507;89.08126688;84.99616569;86.03916099;17.18;16.34;76.7;91.7;91.93;93.97;24.16666667;17.1;29.04577724
Italy;0.767;85.50245556;87.95061453;51.77241135;53.20306015;20;19.53;59.6;94.1;97.09;97.48;33.00330033;32.4;28.60878719
Kenya;0.769;86.09672484;88.55730929;22.60150632;29.59579631;24.29;14.97;67.1;94.7;75.36;83.24;24.63768116;33.5;49.62383514
Lesotho;0.784;85.5887921;88.78228994;18.7198364;19.84116731;42.14;28.2;60.8;78.8;46.46;44.6;25.97402597;41.3;33.7833935
Lithuania;0.793;86.62459883;89.07142807;89.02606964;90.87732697;10.9;11.7;83.2;97.6;90.38;96.99;28.36879433;29.4;36.97486983
Luxembourg;0.757;85.4626825;88.21012777;72.47380752;69.83581372;7.35;9.92;77.6;97.4;98.18;99.35;35;25.1;21.94624792
Malta;0.747;85.85288236;88.70384367;47.09664917;49.3698616;13.74;13.29;75.8;99.2;95.33;97.57;27.84810127;26.3;28.9203169
Mauritius;0.728;85.29991266;87.39194385;52.5842392;54.02499237;33.3;31.56;56.1;88;89.4;91.74;20;24.4;39.41358257
Mongolia;0.784;87.68036187;89.40040978;50.49887085;38.87406158;18.06;16.28;66.8;93.4;98.97;97.89;17.10526316;27.2;45.66068347
Montenegro;0.719;87.39850981;89.17787481;77.63869132;87.87278105;20.65;21.51;39.1;92.6;67.57;69.19;28.39506173;32.7;32.11799513
