;;;;;;;;;;;;;;;;Fraction of life expectancy at birth spent in good health;Fraction of life expectancy at birth spent in good health;Population with completed secondary education or higher;Population with completed secondary education or higher;Youth not in education, employment or training ;Youth not in education, employment or training ;Labour force participation rate among prime-working-age individuals who are living as part of a household comprising couple and at least one child under age 6;Labour force participation rate among prime-working-age individuals who are living as part of a household comprising couple and at least one child under age 6;Account ownership at a financial institution or with a mobile-money-service provider ;Account ownership at a financial institution or with a mobile-money-service provider ;
Country;WEI;Women's empowerment group;GGPI;Gender parity group;Human development group;Sustainable development goal regions;Women of reproductive age whose need for family planning is satisfied with modern methods;Adolescent birth rate;Population with completed secondary education or higher, female ;Youth not in education, employment or training, female ;Labour force participation rate among prime-working-age individuals who are living in a household comprising a couple and at least one child under age 6, female;Account ownership at a financial institution or with a mobile-money-service provider, female;Share of seats held by women in parliament;Share of managerial positions held by women;Ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months ;Female;Male;Female;Male;Female;Male;Female;Male;Female;Male;
Nigeria;0.444;Low;0.514;Low;Low;Sub-Saharan Africa;41.3;99.56;36.94507003;43.49;74.7;34.96;4.47761194;30.4241857;13;85.63778851;88.10247732;36.94507003;52.67941273;43.49;29.95;74.7;97;34.96;55.45;
North Macedonia;0.682;Lower-middle;0.776;Upper-middle;High;Europe and Northern America;37.4;16.123;61.6777916;17.92;75.5;79.91;42.5;21.57152802;4;87.52014145;89.30022549;61.6777916;74.98310852;17.92;18.78;75.5;96.9;79.91;90.62;
Norway;0.802;High;0.887;High;Very high;Europe and Northern America;88.6;2.195;79.29237512;5.7;63.8;100;46.15384615;33.4686132;4;85.15257925;87.62577871;79.29237512;78.90881751;5.7;6.91;63.8;71.9;100;98.98;
Pakistan;0.337;Low;0.428;Low;Low;Central Asia and Southern Asia;52.8;41.205;10.13836956;56.42;29.5;13.48;20.13574661;5.707176992;16;85.16919471;88.10685572;10.13836956;12.68216991;56.42;13.59;29.5;99.1;13.48;28.18;
Panama;0.563;Low;0.646;Lower-middle;Very high;Latin America and the Caribbean;73.3;68.49;53.47999954;22.19;51;43.11;22.53521127;39.25278889;8;85.34949484;87.92152629;53.47999954;49.18000031;22.19;13.23;51;99.2;43.11;46.95;
Paraguay;0.593;Low;0.695;Lower-middle;High;Latin America and the Caribbean;82.2;69.916;43.47999954;27.64;60.8;55.35;16.8;39.95537209;6;85.38251497;88.19281658;43.47999954;41.40000153;27.64;10.33;60.8;98.6;55.35;53.49;
Peru;0.64;Lower-middle;0.799;Upper-middle;High;Latin America and the Caribbean;70.3;56.091;49.86999893;26;67.6;53.03;38.75968992;35.36616911;11;85.79869219;88.2141019;49.86999893;60.5;26;19.51;67.6;97.1;53.03;62.32;
Philippines;0.618;Lower-middle;0.772;Upper-middle;Medium;Eastern Asia and South-Eastern Asia;58.6;48.059;59.2;20.77;42.9;47.42;27.46268657;53.37481589;6;86.88326502;89.22921669;59.2;50.8;20.77;14.32;42.9;94.2;47.42;55.59;
Poland;0.757;Upper-middle;0.798;Upper-middle;Very high;Europe and Northern America;72.1;9.16;85.94555664;11.94;66.9;95.69;27.5;42.9772894;3;87.05822445;88.47546614;85.94555664;89.82248688;11.94;10.51;66.9;92.6;95.69;95.75;
Portugal;0.749;Upper-middle;0.843;High;Very high;Europe and Northern America;78.8;7.065;44.39048004;7.4;91.1;90.18;36.08695652;37.95433724;4;85.60560519;88.56241074;44.39048004;42.34447098;7.4;7.82;91.1;97.9;90.18;95.37;
Romania;0.623;Lower-middle;0.658;Lower-middle;Very high;Europe and Northern America;74.6;35.423;65.99899046;21.48;60.5;65.74;18.88412017;35.83479981;7;87.61554696;89.3630102;65.99899046;75.36542495;21.48;14.74;60.5;93.2;65.74;72.68;
Rwanda;0.565;Low;0.846;High;Low;Sub-Saharan Africa;74.2;32.248;9.123201231;30.78;64.3;44.96;54.71698113;34.99547749;23;86.19554558;88.15224829;9.123201231;12.12151141;30.78;27.26;64.3;85.9;44.96;55.75;
Senegal;0.511;Low;0.623;Lower-middle;Low;Sub-Saharan Africa;55.9;64.613;5.613149487;45.86;63.43;50.3;46.06060606;15.22132243;12;85.39782222;87.98123516;5.613149487;23.81442717;45.86;22.37;63.43;92.56;50.3;62.31;
Serbia;0.72;Upper-middle;0.816;High;Very high;Europe and Northern America;49.7;14.356;69.91878873;15.71;74.1;89.83;34.8;33.020145;4;87.36923807;88.97137474;69.91878873;79.9116151;15.71;16.37;74.1;95.2;89.83;88.99;
Sierra Leone;0.438;Low;0.588;Low;Low;Sub-Saharan Africa;56.8;97.943;7.773139;34.81;65;24.76;13.01369863;35.9126678;20;86.09184393;88.12425291;7.773139;20.09900284;34.81;31.23;65;83.6;24.76;33.35;
Singapore;0.757;Upper-middle;0.783;Upper-middle;Very high;Eastern Asia and South-Eastern Asia;77.5;2.462;72.30107117;6.03;67.7;96.87;29.12621359;38.13704724;2;87.43497073;89.321308;72.30107117;77.04052734;6.03;6.35;67.7;94.3;96.87;98.27;
Slovakia;0.696;Lower-middle;0.697;Lower-middle;Very high;Europe and Northern America;78.2;26.623;85.01640813;11.49;39.4;94.01;22;37.99268759;6;86.88710063;88.40049614;85.01640813;91.62485117;11.49;10.68;39.4;97;94.01;97.36;
Slovenia;0.791;Upper-middle;0.821;High;Very high;Europe and Northern America;78.6;4.365;80.27325137;6.37;93;98.15;31.53846154;33.98882942;3;86.21908731;87.8194294;80.27325137;86.84710294;6.37;6.8;93;100;98.15;100;
South Africa;0.68;Lower-middle;0.823;High;High;Sub-Saharan Africa;81.8;60.891;52.78245926;32.36;75.88;86.18;46.13686534;31.62192042;13;84.48464692;87.75706143;52.78245926;79.21818228;32.36;28.83;75.88;90.35;86.18;84.56;
Spain;0.773;Upper-middle;0.855;High;Very high;Europe and Northern America;86.3;6.349;53.38106918;10.14;81;97.49;41.04234528;33.32488009;3;85.02799801;88.32683095;53.38106918;53.12361145;10.14;11.75;81;95.7;97.49;99.11;
Sri Lanka;0.568;Low;0.516;Low;High;Central Asia and Southern Asia;73.7;15.355;63.95890045;27.5;31.7;89.28;5.333333333;27.0128455;4;86.4085226;88.14799309;63.95890045;63.35026932;27.5;15.33;31.7;97.6;89.28;89.26;
Sweden;0.828;High;0.925;High;Very high;Europe and Northern America;86.7;3.312;77.91133215;4.66;82.8;100;46.41833811;42.97750685;6;85.87714831;88.69727428;77.91133215;77.73634066;4.66;5.42;82.8;94;100;99.39;
Switzerland;0.786;Upper-middle;0.817;High;Very high;Europe and Northern America;88.6;2.2;84.36023368;9.12;57.1;99.02;39.3442623;31.51222623;2;85.5978048;88.30440843;84.36023368;89.82118816;9.12;10.61;57.1;85.1;99.02;100;
Tanzania (United Republic of);0.51;Low;0.714;Upper-middle;Low;Sub-Saharan Africa;62;123.44;3.979624934;19.29;86.1;46.03;37.40458015;27.91242363;24;85.55883959;88.14887708;3.979624934;7.245784917;19.29;9.06;86.1;99.4;46.03;59.37;
Thailand;0.635;Lower-middle;0.677;Lower-middle;Very high;Eastern Asia and South-Eastern Asia;89.9;31.585;36.38923539;18.24;62.2;92.7;14.4092219;35.49609775;9;87.11594457;88.65384149;36.38923539;36.25458899;18.24;11.36;62.2;97.8;92.7;98.61;
Togo;0.537;Low;0.664;Lower-middle;Low;Sub-Saharan Africa;46.8;77.034;8.426151116;31.53;85.1;44.3;19.78021978;70.10823443;13;85.97764582;88.91021075;8.426151116;24.6347749;31.53;18.28;85.1;95.2;44.3;55.22;
Tunisia;0.512;Low;0.594;Low;High;Northern Africa and Western Asia;69.6;6.632;37;34.53;34.4;28.75;16.23376623;10.53543914;10;85.48465853;88.26512638;37;35.6;34.53;28.53;34.4;98.2;28.75;45.14;
Türkiye;0.498;Low;0.511;Low;Very high;Northern Africa and Western Asia;61.4;15.656;37.66810216;32.37;33;62.55;17.4137931;19.65124926;12;85.47286588;88.70018535;37.66810216;49.90647064;32.37;17.46;33;96.4;62.55;85.34;
Uganda;0.463;Low;0.672;Lower-middle;Low;Sub-Saharan Africa;61.1;105.679;10.77810249;38.35;39.7;65.06;33.81294964;35.04728008;26;86.10030448;88.6196612;10.77810249;19.52795629;38.35;23.17;39.7;71.3;65.06;66.88;
United Arab Emirates;0.68;Lower-middle;0.783;Upper-middle;Very high;Northern Africa and Western Asia;60.7;2.844;73.12172699;17.68;37.8;86.68;50;23.12810908;17.86904494;84.39877125;87.67815468;73.12172699;73.73477173;17.68;6.4;37.8;98.5;86.68;85.39;
United Kingdom;0.778;Upper-middle;0.821;High;Very high;Europe and Northern America;85.9;9.985;80.0719986;10.57;75;99.91;31.47243545;36.82562361;4;85.09227954;87.28023006;80.0719986;79.74414825;10.57;10.48;75;96.6;99.91;99.61;
United States;0.752;Upper-middle;0.787;Upper-middle;Very high;Europe and Northern America;80.3;15.119;91.30084991;11.72;68.3;96.79;27.90262172;41.00122397;6;83.02617285;85.491827;91.30084991;90.55330658;11.72;10.77;68.3;95.1;96.79;93.09;
Uruguay;0.688;Lower-middle;0.825;High;Very high;Latin America and the Caribbean;86.6;35.196;36.79000092;16.46;77.3;75.73;26.92307692;39.18859968;4;86.28454387;89.00826571;36.79000092;29.85000038;16.46;13.51;77.3;96.9;75.73;72.35;
Viet Nam;0.612;Lower-middle;0.758;Upper-middle;High;Eastern Asia and South-Eastern Asia;77.5;34.992;30.40978836;12.7;88.1;30.42;30.26052104;25.60238411;10;87.42542921;89.74600638;30.40978836;34.91277483;12.7;10.04;88.1;98.4;30.42;31.21;
Yemen;0.141;Low;0.141;Low;Low;Northern Africa and Western Asia;49.1;52.497;12.4;69.69;6.6;1.67;0.298507463;4.116908523;18.16424055;84.40252653;88.34529191;12.4;15.2;69.69;22.06;6.6;93.2;1.67;11.39;
Zambia;0.441;Low;0.637;Lower-middle;Medium;Sub-Saharan Africa;68.2;116.091;20.48761047;36.17;55.8;44.98;14.97005988;43.28376768;28;86.14348636;88.17799816;20.48761047;16.88218549;36.17;26.53;55.8;84.2;44.98;52.48;
Zimbabwe;0.519;Low;0.655;Lower-middle;Medium;Sub-Saharan Africa;85.8;92.566;18.6360029;35.56;59.77;53.98;33.62573099;33.98756005;18;86.16196877;89.03699582;18.6360029;24.52087957;35.56;25.3;59.77;96.54;53.98;65.86;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;-;-;-;-;Low;Central Asia and Southern Asia;47.7;79.735;5.196119785;81.25;23.4;4.7;27.21518987;4.890466316;35;84.16217143;86.48535171;5.196119785;12.09541035;81.25;41.92;23.4;94.2;4.7;14.79;
Algeria;-;-;-;-;High;Northern Africa and Western Asia;71.3;11.564;37.81721262;31.69;-;31.19;6.759098787;8.36485662;18.08662099;84.58846541;87.53104587;37.81721262;32.52310215;31.69;10.94;-;-;31.19;56.83;
Andorra;-;-;-;-;Very high;Europe and Northern America;80.1;5.91;45.82161953;-;-;-;46.42857143;-;6.387994852;-;-;45.82161953;46.86303731;-;-;-;-;-;-;
Angola;-;-;-;-;Medium;Sub-Saharan Africa;35.4;135.792;12.29259968;22.57;88.2;22.33;33.63636364;15.35762483;25;85.78814047;88.22306925;12.29259968;22.67195702;22.57;20.77;88.2;97.2;22.33;36.13;
Antigua and Barbuda;-;-;-;-;High;Latin America and the Caribbean;76.1;32.262;-;24;-;-;22.85714286;-;16.29427231;86.83063257;88.46323566;-;-;24;12;-;-;-;-;
Argentina;-;-;-;-;Very high;Latin America and the Caribbean;82.1;37.932;63.34545753;18.56;63.5;73.75;44.3768997;32.6943137;5;86.49500978;88.97075491;63.34545753;55.29668122;18.56;13.77;63.5;98.3;73.75;69.56;
Azerbaijan;-;-;-;-;High;Northern Africa and Western Asia;33.3;40.081;84.76335203;-;-;27.72;18.6440678;36.18153264;5;88.03174561;90.25911033;84.76335203;92.23519774;-;-;-;-;27.72;29.44;
Bahamas;-;-;-;-;Very high;Latin America and the Caribbean;78.8;25.079;82.4593811;-;-;-;20;-;15.98190369;86.78555002;89.12628817;82.4593811;81.22306824;-;-;-;-;-;-;
Bahrain;-;-;-;-;Very high;Northern Africa and Western Asia;58.6;8.714;67.18782043;-;-;75.41;22.5;21.56211384;18.07153488;85.03128481;87.920198;67.18782043;69.48377991;-;-;-;-;75.41;86.31;
Barbados;-;-;-;-;High;Latin America and the Caribbean;75;41.864;82.29431817;25.88;77.3;-;32.65306122;49.27015755;16.19649669;87.14476103;89.13555225;82.29431817;65.65916461;25.88;32.15;77.3;88.4;-;-;
Belarus;-;-;-;-;Very high;Europe and Northern America;71.4;11.191;95.12992279;7.24;-;81.34;34.70588235;47.1765082;6;87.12383236;89.45990099;95.12992279;96.65706473;7.24;8.19;-;-;81.34;80.93;
Brunei Darussalam;-;-;-;-;Very high;Eastern Asia and South-Eastern Asia;86.7;9.524;62.29999161;19.98;63.7;-;8.823529412;42.60599793;3.438986252;87.7687471;88.8421523;62.29999161;63.65320969;19.98;17.49;63.7;93.7;-;-;
Cabo Verde;-;-;-;-;Medium;Sub-Saharan Africa;76;53.987;19.80814934;29;84.8;-;41.66666667;46.02972399;11;86.24164857;88.99624235;19.80814934;20.28751945;29;27.1;84.8;98;-;-;
Central African Republic;-;-;-;-;Low;Sub-Saharan Africa;37.6;158.998;9.5;-;-;9.72;12.85714286;-;21;86.11256698;88.59145616;9.5;20.3;-;-;-;-;9.72;18.08;
Chad;-;-;-;-;Low;Sub-Saharan Africa;25.3;135.678;4.161802014;46.38;49.9;14.85;25.88832487;-;16;86.01265912;88.49150987;4.161802014;14.98541422;46.38;24.81;49.9;93.3;14.85;29.03;
Comoros;-;-;-;-;Medium;Sub-Saharan Africa;41.4;56.081;-;24.88;56.1;17.89;16.66666667;51.12640801;8;86.55432043;88.40155444;-;-;24.88;20.69;56.1;92;17.89;25.7;
Congo;-;-;-;-;Medium;Sub-Saharan Africa;51.3;101.197;5.3;22.84;-;43.79;15.90909091;-;33.8320585;85.51887827;88.31934716;5.3;12.4;22.84;21.58;-;-;43.79;50.61;
Cuba;-;-;-;-;High;Latin America and the Caribbean;87.7;48.914;73.9167277;-;-;-;53.41296928;-;5;86.17992478;88.30494058;73.9167277;74.59186011;-;-;-;-;-;-;
Djibouti;-;-;-;-;Low;Sub-Saharan Africa;51.5;22.675;-;27.98;15.7;8.76;23.07692308;12.30724469;26.92546405;86.90130983;89.24605083;-;-;27.98;17.58;15.7;74.8;8.76;16.63;
Dominica;-;-;-;-;High;Latin America and the Caribbean;77.7;37.933;-;-;-;-;37.5;-;16.05901487;-;-;-;-;-;-;-;-;-;-;
Equatorial Guinea;-;-;-;-;Medium;Sub-Saharan Africa;37.5;136.439;-;-;-;-;27.01149425;-;29;85.05674118;87.78039775;-;-;-;-;-;-;-;-;
Eritrea;-;-;-;-;Low;Sub-Saharan Africa;33.1;63.639;-;-;-;-;22;-;26.85788835;86.03668916;87.95047864;-;-;-;-;-;-;-;-;
Eswatini (Kingdom of);-;-;-;-;Medium;Sub-Saharan Africa;83.2;68.426;10.2;41.19;53.9;-;22.11538462;43.42059938;18;85.22711742;88.22270629;10.2;11.4;41.19;29.92;53.9;76.6;-;-;
Ethiopia;-;-;-;-;Low;Sub-Saharan Africa;64.7;66.502;6.828436051;24.88;63.1;29.08;38.7987013;25.42875313;27;86.23261536;88.16971306;6.828436051;17.1141604;24.88;9.87;63.1;95.7;29.08;40.94;
Fiji;-;-;-;-;High;Oceania (excluding Australia and New Zealand);64.6;26.141;50.59904454;29.59;40.7;-;10.90909091;38.88516158;23;86.42678921;88.78887367;50.59904454;45.07029335;29.59;10.83;40.7;96.7;-;-;
Gabon;-;-;-;-;High;Sub-Saharan Africa;53.5;89.807;53.4;-;-;61.3;17.61904762;-;22;85.08827016;88.04471067;53.4;36.8;-;-;-;-;61.3;71.47;
Georgia;-;-;-;-;Very high;Northern Africa and Western Asia;51.8;29.693;91.8282209;26.37;-;70.71;18.43971631;36.12530895;3;87.3356912;89.30609566;91.8282209;92.63780158;26.37;23.58;-;-;70.71;70.25;
Grenada;-;-;-;-;High;Latin America and the Caribbean;76;32.141;-;31;74.3;-;31.03448276;-;8;86.75936145;88.6287956;-;-;31;29;74.3;100;-;-;
Guinea-Bissau;-;-;-;-;Low;Sub-Saharan Africa;61.9;85.775;6.679402828;29.85;-;-;13.7254902;-;19.71074837;85.9307574;89.04553119;6.679402828;14.89501095;29.85;18.3;-;-;-;-;
Guyana;-;-;-;-;High;Latin America and the Caribbean;55.6;64.636;35.93352088;53.58;40.9;-;36.61971831;46.78817118;10;86.08797058;88.14858276;35.93352088;31.27846895;53.58;38.89;40.9;81.6;-;-;
Haiti;-;-;-;-;Low;Latin America and the Caribbean;50.2;51.837;14.3;27.88;65.4;30.05;2.739726027;-;12;86.10806477;88.21525538;14.3;40.9;27.88;14.25;65.4;94.7;30.05;35.35;
Hong Kong, China (SAR);-;-;-;-;Very high;Eastern Asia and South-Eastern Asia;80.8;1.571;62.82737515;6.33;55.8;98.19;-;33.05154649;3;-;-;62.82737515;66.66786171;6.33;8.14;55.8;96.1;98.19;97.33;
Kazakhstan;-;-;-;-;Very high;Central Asia and Southern Asia;75.9;20.882;96.89830017;9.9;-;83.63;25.64102564;41.10876767;6;86.82979411;89.13594927;96.89830017;97.97015381;9.9;4.8;-;-;83.63;78.29;
Kiribati;-;-;-;-;Medium;Oceania (excluding Australia and New Zealand);48.1;39.585;-;49.77;46.4;-;6.666666667;43.34877565;25;87.34257888;89.87262387;-;-;49.77;45.51;46.4;76.7;-;-;
Korea (Democratic People's Rep. of);-;-;-;-;Other countries or territories;Eastern Asia and South-Eastern Asia;84.3;2.447;-;-;-;-;17.61280932;-;7.701030721;87.95696816;91.35080256;-;-;-;-;-;-;-;-;
Korea (Republic of);-;-;-;-;Very high;Eastern Asia and South-Eastern Asia;82.3;2.108;74.80589609;21;-;98.68;19.06354515;14.60218459;8;86.72611805;88.78973134;74.80589609;85.98862108;21;21;-;-;98.68;98.66;
Kuwait;-;-;-;-;Very high;Northern Africa and Western Asia;67.2;5.298;41.57302205;-;-;73.46;6.25;13.6126189;18.05792291;84.68964319;87.70506748;41.57302205;27.98692121;-;-;-;-;73.46;83.31;
Kyrgyzstan;-;-;-;-;Medium;Central Asia and Southern Asia;66.5;33.766;95.87378174;22.05;47.4;43.76;20;42.84722624;13;87.60909275;89.91328626;95.87378174;93.57063911;22.05;9.97;47.4;69;43.76;46.54;
Libya;-;-;-;-;High;Northern Africa and Western Asia;39;6.987;64.8;-;-;59.62;16.47058824;-;18.26557365;84.68712048;87.47584623;64.8;33.3;-;-;-;-;59.62;70.69;
Liechtenstein;-;-;-;-;Very high;Europe and Northern America;80.1;2.98;-;-;-;-;28;-;-;-;-;-;-;-;-;-;-;-;-;
Madagascar;-;-;-;-;Low;Sub-Saharan Africa;66.9;118.125;8.736423189;4.27;94;16.31;17.75147929;31.76570723;26.55051967;86.69937461;88.74120996;8.736423189;10.94610612;4.27;3.31;94;99.8;16.31;19.61;
Malaysia;-;-;-;-;Very high;Eastern Asia and South-Eastern Asia;57.6;9.127;64.53071146;14.75;-;87.51;14.65201465;24.85155863;13.08354959;86.84677666;88.84102896;64.53071146;63.61020158;14.75;12.6;-;-;87.51;89.23;
Marshall Islands;-;-;-;-;Medium;Oceania (excluding Australia and New Zealand);72.7;57.47;67.5821228;46.48;27.8;-;6.060606061;33.28912467;19;-;-;67.5821228;72.00105286;46.48;39.39;27.8;83.5;-;-;
Mauritania;-;-;-;-;Medium;Sub-Saharan Africa;27.8;76.845;9.393697981;54.85;33.3;15.49;20.26143791;-;19.73985933;86.47772346;88.35761779;9.393697981;14.34554905;54.85;32.03;33.3;91.2;15.49;26.29;
Micronesia (Federated States of);-;-;-;-;Medium;Oceania (excluding Australia and New Zealand);52.5;35.692;-;33.61;51.7;-;7.142857143;20.25411061;21;87.45800343;90.13992311;-;-;33.61;23.78;51.7;93.2;-;-;
Monaco;-;-;-;-;Other countries or territories;Europe and Northern America;80.1;6.929;-;-;-;-;45.83333333;-;-;-;-;-;-;-;-;-;-;-;-;
Morocco;-;-;-;-;Medium;Northern Africa and Western Asia;74.1;25.455;24.1;44.1;20.9;32.7;21.3592233;-;10;85.72285919;88.89209899;24.1;29.2;44.1;13.3;20.9;95.9;32.7;55.97;
Mozambique;-;-;-;-;Low;Sub-Saharan Africa;57.7;165.136;8.083020259;41;90.3;38.69;43.2;24.33150345;16;85.46150338;87.96375321;8.083020259;14.72655299;41;33;90.3;94.6;38.69;61;
Nauru;-;-;-;-;Other countries or territories;Oceania (excluding Australia and New Zealand);56.4;71.085;-;51.3;67.9;-;10.52631579;36.08695652;20;-;-;-;-;51.3;22.05;67.9;97.8;-;-;
New Zealand;-;-;-;-;Very high;Australia and New Zealand;87.8;11.799;74.56523895;12.62;-;99.24;50;-;4;84.79477467;86.66005797;74.56523895;75.68910217;12.62;11.12;-;-;99.24;98.23;
Nicaragua;-;-;-;-;Medium;Latin America and the Caribbean;88.1;83.964;38.80116267;40.07;47.4;21.57;51.64835165;35.20592214;6;86.24585228;88.32669175;38.80116267;30.13473976;40.07;8.49;47.4;99;21.57;30.94;
Oman;-;-;-;-;Very high;Northern Africa and Western Asia;41.1;9.693;71.67037201;-;38.7;63.53;9.941520468;28.72269155;18.02060796;85.71545046;88.40760666;71.67037201;57.38816071;-;-;38.7;97.5;63.53;83.75;
Palau;-;-;-;-;High;Oceania (excluding Australia and New Zealand);63.6;42.111;87.72624207;19.22;61.5;-;6.896551724;46.77033493;14;-;-;87.72624207;88.33500671;19.22;16.96;61.5;96.4;-;-;
Palestine, State of;-;-;-;-;High;Northern Africa and Western Asia;63.7;42.901;47.08501816;33.19;21.2;25.93;-;19.8318451;19;-;-;47.08501816;44.74343872;33.19;23.37;21.2;94.3;25.93;41.44;
Papua New Guinea;-;-;-;-;Medium;Oceania (excluding Australia and New Zealand);51;54.335;7.7;28.98;-;-;1.739130435;-;31;86.19487253;88.57981217;7.7;10.3;28.98;26.44;-;-;-;-;
Qatar;-;-;-;-;Very high;Northern Africa and Western Asia;64.5;6.896;60.10435104;30.7;-;61.57;4.444444444;10.74793061;17.96890441;84.90863943;87.29476572;60.10435104;36.87693024;30.7;2.9;-;-;61.57;68.57;
Russian Federation;-;-;-;-;Very high;Europe and Northern America;74.5;14.471;86.60259693;14.59;66.39;90.11;17.77059774;46.18213723;7.949811664;86.56938315;89.02917945;86.60259693;89.53763979;14.59;10.32;66.39;95.72;90.11;89.26;
Saint Kitts and Nevis;-;-;-;-;High;Latin America and the Caribbean;75.1;36.756;-;20;-;-;31.25;-;16.20837557;-;-;-;-;20;17;-;-;-;-;
Saint Lucia;-;-;-;-;High;Latin America and the Caribbean;75.4;36.264;43.98988513;23.47;69.7;-;24.13793103;47.30400851;16.24417142;85.74296178;88.36247138;43.98988513;38.89098452;23.47;30.29;69.7;97.9;-;-;
Saint Vincent and the Grenadines;-;-;-;-;High;Latin America and the Caribbean;79.4;46.51;-;37;-;-;18.18181818;-;16.13962493;86.47887329;88.23270217;-;-;37;29;-;-;-;-;
Samoa;-;-;-;-;High;Oceania (excluding Australia and New Zealand);31.2;43.766;74.63024139;35.57;51.8;-;12.96296296;42.99648849;18;87.00792246;89.35241746;74.63024139;70.39250183;35.57;22.38;51.8;88;-;-;
San Marino;-;-;-;-;Very high;Europe and Northern America;80.1;3.65;56.03610992;-;-;-;33.33333333;-;6.490111771;-;-;56.03610992;51.62601852;-;-;-;-;-;-;
Sao Tome and Principe;-;-;-;-;Medium;Sub-Saharan Africa;60.1;77.367;31.7743206;-;-;-;14.54545455;24.3537415;18;86.41343061;88.59538315;31.7743206;46.25484085;-;-;-;-;-;-;
Saudi Arabia;-;-;-;-;Very high;Northern Africa and Western Asia;47.4;11.577;58.82992935;23.86;42.6;63.49;19.86754967;-;17.92049332;84.52333391;87.24321372;58.82992935;64.45641327;23.86;14.97;42.6;94.3;63.49;81.67;
Seychelles;-;-;-;-;High;Sub-Saharan Africa;56.6;52.121;-;22.15;79.5;-;22.85714286;41.81313599;13.2697296;86.1162406;88.40279385;-;-;22.15;29.82;79.5;95.5;-;-;
Solomon Islands;-;-;-;-;Medium;Oceania (excluding Australia and New Zealand);53.3;59.426;-;8.94;90;-;8;25.6580969;28;87.13588184;89.87998866;-;-;8.94;5.1;90;99;-;-;
Somalia;-;-;-;-;Other countries or territories;Sub-Saharan Africa;7.6;116.067;-;49.73;-;33.66;20.73170732;29.39464907;26.95334841;86.63418677;89.46295259;-;-;49.73;37.23;-;-;33.66;43.57;
South Sudan;-;-;-;-;Low;Sub-Saharan Africa;20.9;97.418;10.85494041;-;-;4.19;32.33438486;-;27;84.00517156;86.93340515;10.85494041;16.2125206;-;-;-;-;4.19;7.71;
Sudan;-;-;-;-;Low;Northern Africa and Western Asia;35.2;77.58;11.1;46.42;-;9.98;31.04166667;-;17;85.19564903;88.16885613;11.1;7.1;46.42;19.98;-;-;9.98;20.22;
Suriname;-;-;-;-;High;Latin America and the Caribbean;68.9;55.223;26.24708939;21.85;62.8;-;29.41176471;43.24558866;8;85.96740094;88.64347803;26.24708939;23.05549049;21.85;14.73;62.8;94.5;-;-;
Syrian Arab Republic;-;-;-;-;Medium;Northern Africa and Western Asia;61.9;38.129;18.88232994;-;-;19.59;10.8;-;18.1386096;85.26605591;87.77711973;18.88232994;24.75914955;-;-;-;-;19.59;26.77;
Tajikistan;-;-;-;-;Medium;Central Asia and Southern Asia;55.3;44.923;75.98764094;52.37;-;39.41;26.59574468;-;14;88.31952457;90.1245637;75.98764094;82.72071065;52.37;30.42;-;-;39.41;39.57;
Timor-Leste;-;-;-;-;Medium;Eastern Asia and South-Eastern Asia;53;33.265;26.47274934;32.56;79.9;-;40;13.27393192;28;86.86089361;88.04085374;26.47274934;34.64900436;32.56;29.83;79.9;99;-;-;
Tonga;-;-;-;-;High;Oceania (excluding Australia and New Zealand);49.1;19.245;68.40386395;23.28;-;-;7.142857143;35.68075117;17;86.63759675;89.79176111;68.40386395;62.4563665;23.28;13.82;-;-;-;-;
Trinidad and Tobago;-;-;-;-;Very high;Latin America and the Caribbean;65.6;37.73;80.11173863;17.45;57;73.6;33.78378378;43.6187399;7;85.84736612;88.19714316;80.11173863;76.6130239;17.45;13.54;57;97.9;73.6;88.22;
Turkmenistan;-;-;-;-;High;Central Asia and Southern Asia;76.4;21.184;-;19.3;-;35.52;25.86206897;-;7.138011058;88.07423885;90.14023022;-;-;19.3;-;-;-;35.52;45.71;
Tuvalu;-;-;-;-;Medium;Oceania (excluding Australia and New Zealand);45.1;31.678;-;45.78;-;-;6.25;35.88957055;20;-;-;-;-;45.78;24.37;-;-;-;-;
Ukraine;-;-;-;-;High;Europe and Northern America;74.2;15.175;89.3336622;19.65;-;80.69;20.43269231;41.00031674;9;87.18328585;89.11754595;89.3336622;84.43908269;19.65;13.46;-;-;80.69;87.07;
Uzbekistan;-;-;-;-;High;Central Asia and Southern Asia;83.9;15.693;95.01287842;38.2;-;38.82;30;-;7.235239028;87.48157771;89.78670521;95.01287842;97.0958786;38.2;9.4;-;-;38.82;50.24;
Vanuatu;-;-;-;-;Medium;Oceania (excluding Australia and New Zealand);60.9;63.164;-;38.7;66.7;-;1.923076923;37.10473405;29;87.00382121;90.00083391;-;-;38.7;30.13;66.7;85.7;-;-;
Venezuela (Bolivarian Republic of);-;-;-;-;Medium;Latin America and the Caribbean;82.2;82.006;65.1763916;30.1;56.7;79.67;22.15568862;32.75848188;8;85.84715171;88.52374414;65.1763916;58.55176163;30.1;44.04;56.7;98;79.67;89.06;
