;;;;;;;;;participation in decisionmaking;participation in decisionmaking;
;WEI;life and good health;life and good health;education, skill-building and knowledge;education, skill-building and knowledge;labour and financial inclusion;labour and financial inclusion;participation in decisionmaking;share of seats held by women;share of managerial positions held by women;freedom from violence
country;value;women of reproductive age whose need for family planning is satisfied with modern methods;adolescent birth rate;population with completed secondary education or higher, female ;youth not in education, employment or training, female ;labour force participation rate among prime-working-age individuals who are living in a household comprising a couple and at least one child under age 6, female;account ownership at a financial institution or with a mobile-money-service provider, female;share of seats held by women;in parliament ;in local government ;ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months 
Slovakia;0.696;78.2;26.623;85.01640813;11.49;39.4;94.01;22;26.9;37.99268759;6
South Africa;0.68;81.8;60.891;52.78245926;32.36;75.88;86.18;46.13686534;40.7;31.62192042;13
Thailand;0.635;89.9;31.585;36.38923539;18.24;62.2;92.7;14.4092219;20.4;35.49609775;9
United Arab Emirates;0.68;60.7;2.844;73.12172699;17.68;37.8;86.68;50;— ;23.12810908;17.86904494
Uruguay;0.688;86.6;35.196;36.79000092;16.46;77.3;75.73;26.92307692;31.7;39.18859968;4
Viet Nam;0.612;77.5;34.992;30.40978836;12.7;88.1;30.42;30.26052104;29;25.60238411;10
Bangladesh;0.443;73.7;73.345;28.88113107;44.55;42.7;43.46;20.85714286;23.4;10.73910075;23
Belize;0.569;71.1;56.569;45.82646942;41.31;42.1;52.28;23.91304348;31.5;39.41074523;8
Benin;0.418;33.7;90.835;22.4;40.68;68.9;39.79;25.68807339;3.5;13.7466837;15
Bhutan;0.562;80.4;18.481;13.78464031;12.16;72.9;27.68;16.90140845;12.8;39.71204388;9
Bosnia and Herzegovina;0.597;39.7;9.384;59.39936829;19.87;56.7;70.37;17.54385965;19.6;24.18210936;3
Botswana;0.56;86.4;48.343;37.6;40.39;65.6;46.79;11.11111111;14.9;58.48220749;17
Burkina Faso;0.443;57.6;108.692;5.268700243;49.1;56.5;30.68;16.90140845;12.7;58.1103269;11
Burundi;0.53;47.9;52.595;4.213063439;10.94;93.8;6.73;38.88888889;33.3;33.79016155;22
Cambodia;0.542;63.6;45.657;6.43545879;12.59;82.3;32.52;19.2513369;16.9;30.99220317;9
Cameroon;0.52;49;108.618;18.57348147;23.07;69.7;49.25;31.07142857;24.5;49.26279586;22
Colombia;0.592;87;57.612;55.36999893;35.7;54.3;56.2;29.35153584;17.9;35.31068647;12
Congo (Democratic Republic of the);0.399;33.6;107.481;21.63013752;33.88;73.3;24.22;14.77832512;— ;41.9441146;36
Côte d'Ivoire;0.455;47.1;103.293;16.51659811;31.46;64.8;37.44;15.86402266;15;30.7159724;16
Egypt;0.466;80.6;43.603;72.34722657;42.16;22.5;24.2;22.86995516;— ;12.36658277;15
El Salvador;0.542;81.5;54.546;31.95000076;37.38;40.3;29.23;27.38095238;30.4;41.06196696;6
Gambia;0.427;43.9;60.681;14.7572155;29.72;55.4;24.76;8.620689655;13.8;19.57342813;10
Ghana;0.524;49.8;63.41;26.09751145;25.25;80.9;62.58;14.54545455;3.8;33.72545577;10
Guatemala;0.482;70.7;63.163;23.72038714;45.75;38.7;42.09;19.375;11.4;36.75253526;7
Guinea;0.4;40.7;112.231;3.672306634;41.49;65;24.01;29.62962963;15.9;23.38101226;21
Honduras;0.544;79.2;71.333;28.34869203;40.93;50.6;28.85;27.34375;38.9;40.08833246;7
India;0.52;77.5;16.299;24.92271996;43.53;27.1;77.55;14.72471191;44.4;15.93494761;18
Indonesia;0.568;81.2;32.94;34.62979126;27.19;55.01;52.3;21.56521739;15.7;31.66473098;9
Iran (Islamic Republic of);0.454;76.5;29.663;54.31941464;39.01;10.3;85.08;5.594405594;5.1;18.979569;18
Iraq;0.363;58;61.151;31.05203527;52.71;9.7;14.89;28.87537994;— ;15.00216586;16.61315687
Jordan;0.488;57;24.87;49.85884857;38.29;9.86;34.06;13.33333333;24.9;57.24264094;13
Kenya;0.591;77.2;62.61;22.60150632;24.29;67.1;75.36;24.63768116;33.5;49.62383514;23
Lao People's Democratic Republic;0.582;71.5;71.782;16.7;27.88;69.9;37.85;21.95121951;32.2;59.03944061;8
Lebanon;0.372;62.4;20.04;32.51166916;28.89;22.5;16.59;6.25;4;21.20594901;18.16481361
Lesotho;0.531;82.9;89.077;18.7198364;42.14;60.8;46.46;25.97402597;41.3;33.7833935;16
Liberia;0.435;49.5;121.996;17;41.55;73.1;44.2;9.708737864;— ;52.45111498;27
Malawi;0.464;78.1;117.23;12.3581061;24.89;68.9;38.14;20.7253886;14.6;15.62426105;17
Maldives;0.518;33.5;6.814;9.077562097;28.51;46.5;74.18;4.597701149;39.5;18.65715212;6
Mali;0.4;45.5;147.652;3.203279972;43.32;56.9;41.21;28.57142857;25.3;17.4410964;18
Mexico;0.598;81.6;53.693;35.20999908;26.73;42.2;33.29;50.07974482;47.5;38.46876503;10
Myanmar;0.518;78.7;32.764;21.85656929;20.72;43.9;46.15;14.97659906;— ;27.81287434;11
Nepal;0.491;63.5;63.358;18.45714032;45.82;33.7;49.9;33.93393393;41.3;13.16710825;11
Niger;0.307;40.5;168.04;4.03939876;77.21;67.7;10.91;30.72289157;27.1;49.31062537;13
Nigeria;0.444;41.3;99.56;36.94507003;43.49;74.7;34.96;4.47761194;11.1;30.4241857;13
Pakistan;0.337;52.8;41.205;10.13836956;56.42;29.5;13.48;20.13574661;16.8;5.707176992;16
Panama;0.563;73.3;68.49;53.47999954;22.19;51;43.11;22.53521127;9;39.25278889;8
Paraguay;0.593;82.2;69.916;43.47999954;27.64;60.8;55.35;16.8;20.8;39.95537209;6
Rwanda;0.565;74.2;32.248;9.123201231;30.78;64.3;44.96;54.71698113;43.6;34.99547749;23
Senegal;0.511;55.9;64.613;5.613149487;45.86;63.43;50.3;46.06060606;47.2;15.22132243;12
Sierra Leone;0.438;56.8;97.943;7.773139;34.81;65;24.76;13.01369863;18.2;35.9126678;20
Sri Lanka;0.568;73.7;15.355;63.95890045;27.5;31.7;89.28;5.333333333;10.9;27.0128455;4
Tanzania (United Republic of);0.51;62;123.44;3.979624934;19.29;86.1;46.03;37.40458015;30.7;27.91242363;24
Togo;0.537;46.8;77.034;8.426151116;31.53;85.1;44.3;19.78021978;13;70.10823443;13
Tunisia;0.512;69.6;6.632;37;34.53;34.4;28.75;16.23376623;48.5;10.53543914;10
Türkiye;0.498;61.4;15.656;37.66810216;32.37;33;62.55;17.4137931;10.1;19.65124926;12
Uganda;0.463;61.1;105.679;10.77810249;38.35;39.7;65.06;33.81294964;22.1;35.04728008;26
Yemen;0.141;49.1;52.497;12.4;69.69;6.6;1.67;0.298507463;— ;4.116908523;18.16424055
Zambia;0.441;68.2;116.091;20.48761047;36.17;55.8;44.98;14.97005988;7.1;43.28376768;28
Zimbabwe;0.519;85.8;92.566;18.6360029;35.56;59.77;53.98;33.62573099;12;33.98756005;18
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
countries or territories with incomplete data;;;;;;;;;;;
Afghanistan;..;47.7;79.735;5.196119785;81.25;23.4;4.7;27.21518987;..;4.890466316;35
Algeria;..;71.3;11.564;37.81721262;31.69;..;31.19;6.759098787;17.6;8.36485662;18.08662099
Andorra;..;80.1;5.91;45.82161953;..;..;..;46.42857143;41.3;..;6.387994852
Angola;..;35.4;135.792;12.29259968;22.57;88.2;22.33;33.63636364;..;15.35762483;25
Antigua and Barbuda;..;76.1;32.262;..;24;..;..;22.85714286;66.7;..;16.29427231
Argentina;..;82.1;37.932;63.34545753;18.56;63.5;73.75;44.3768997;..;32.6943137;5
Azerbaijan;..;33.3;40.081;84.76335203;..;..;27.72;18.6440678;38.8;36.18153264;5
Bahamas;..;78.8;25.079;82.4593811;..;..;..;20;..;..;15.98190369
Bahrain;..;58.6;8.714;67.18782043;..;..;75.41;22.5;10;21.56211384;18.07153488
Barbados;..;75;41.864;82.29431817;25.88;77.3;..;32.65306122;— ;49.27015755;16.19649669
Belarus;..;71.4;11.191;95.12992279;7.24;..;81.34;34.70588235;48.2;47.1765082;6
Brunei Darussalam;..;86.7;9.524;62.29999161;19.98;63.7;..;8.823529412;— ;42.60599793;3.438986252
Cabo Verde;..;76;53.987;19.80814934;29;84.8;..;41.66666667;41.8;46.02972399;11
Central African Republic;..;37.6;158.998;9.5;..;..;9.72;12.85714286;— ;..;21
Chad;..;25.3;135.678;4.161802014;46.38;49.9;14.85;25.88832487;..;..;16
Comoros;..;41.4;56.081;..;24.88;56.1;17.89;16.66666667;33.3;51.12640801;8
Congo;..;51.3;101.197;5.3;22.84;..;43.79;15.90909091;..;..;33.8320585
Cuba;..;87.7;48.914;73.9167277;..;..;..;53.41296928;42.1;..;5
Djibouti;..;51.5;22.675;..;27.98;15.7;8.76;23.07692308;28.9;12.30724469;26.92546405
Dominica;..;77.7;37.933;..;..;..;..;37.5;..;..;16.05901487
Equatorial Guinea;..;37.5;136.439;..;..;..;..;27.01149425;26.9;..;29
Eritrea;..;33.1;63.639;..;..;..;..;22;..;..;26.85788835
Eswatini (Kingdom of);..;83.2;68.426;10.2;41.19;53.9;..;22.11538462;14.2;43.42059938;18
Ethiopia;..;64.7;66.502;6.828436051;24.88;63.1;29.08;38.7987013;..;25.42875313;27
Fiji;..;64.6;26.141;50.59904454;29.59;40.7;..;10.90909091;— ;38.88516158;23
Gabon;..;53.5;89.807;53.4;..;..;61.3;17.61904762;..;..;22
Georgia;..;51.8;29.693;91.8282209;26.37;..;70.71;18.43971631;23.7;36.12530895;3
Grenada;..;76;32.141;..;31;74.3;..;31.03448276;— ;..;8
Guinea-Bissau;..;61.9;85.775;6.679402828;29.85;..;..;13.7254902;— ;..;19.71074837
Guyana;..;55.6;64.636;35.93352088;53.58;40.9;..;36.61971831;38.7;46.78817118;10
Haiti;..;50.2;51.837;14.3;27.88;65.4;30.05;2.739726027;— ;..;12
Hong Kong, China (SAR);..;80.8;1.571;62.82737515;6.33;55.8;98.19;..;..;33.05154649;3
Kazakhstan;..;75.9;20.882;96.89830017;9.9;..;83.63;25.64102564;30.5;41.10876767;6
Kiribati;..;48.1;39.585;..;49.77;46.4;..;6.666666667;7.3;43.34877565;25
Korea (Democratic People's Rep. of);..;84.3;2.447;..;..;..;..;17.61280932;..;..;7.701030721
Korea (Republic of);..;82.3;2.108;74.80589609;21;..;98.68;19.06354515;30.3;14.60218459;8
Kuwait;..;67.2;5.298;41.57302205;..;..;73.46;6.25;— ;13.6126189;18.05792291
Kyrgyzstan;..;66.5;33.766;95.87378174;22.05;47.4;43.76;20;..;42.84722624;13
Libya;..;39;6.987;64.8;..;..;59.62;16.47058824;14.3;..;18.26557365
Liechtenstein;..;80.1;2.98;..;..;..;..;28;39.1;..;..
Madagascar;..;66.9;118.125;8.736423189;4.27;94;16.31;17.75147929;..;31.76570723;26.55051967
Malaysia;..;57.6;9.127;64.53071146;14.75;..;87.51;14.65201465;..;24.85155863;13.08354959
Marshall Islands;..;72.7;57.47;67.5821228;46.48;27.8;..;6.060606061;15.9;33.28912467;19
Mauritania;..;27.8;76.845;9.393697981;54.85;33.3;15.49;20.26143791;31.4;..;19.73985933
Micronesia (Federated States of);..;52.5;35.692;..;33.61;51.7;..;7.142857143;1.5;20.25411061;21
Monaco;..;80.1;6.929;..;..;..;..;45.83333333;..;..;..
Morocco;..;74.1;25.455;24.1;44.1;20.9;32.7;21.3592233;27.2;..;10
Mozambique;..;57.7;165.136;8.083020259;41;90.3;38.69;43.2;..;24.33150345;16
Nauru;..;56.4;71.085;..;51.3;67.9;..;10.52631579;..;36.08695652;20
New Zealand;..;87.8;11.799;74.56523895;12.62;..;99.24;50;39.4;..;4
Nicaragua;..;88.1;83.964;38.80116267;40.07;47.4;21.57;51.64835165;..;35.20592214;6
Oman;..;41.1;9.693;71.67037201;..;38.7;63.53;9.941520468;0.8;28.72269155;18.02060796
Palau;..;63.6;42.111;87.72624207;19.22;61.5;..;6.896551724;..;46.77033493;14
Palestine, State of;..;63.7;42.901;47.08501816;33.19;21.2;25.93;..;21;19.8318451;19
Papua New Guinea;..;51;54.335;7.7;28.98;..;..;1.739130435;..;..;31
