country;wei;weg;ggpi;gender_parity_group;human_development_group;sustainable_development_goal_regions;family;birth_rate;education;youth_not_in_education ;labour_force_participation_rate;account_ownership;politics;managerial_positions;violence;good_health_female;good_health_male;secondary_education_female;secondary_education_male;youth_not_in_education_female;youth_not_in_education_male;labour_force_participation_female;labour_force_participation_male;account_ownershipt_female;account_ownershipt_male
Angola;0;none;0;none;Medium;Sub-Saharan Africa;35.4;135.79;12.29;22.57;88.2;22.3;33.6;15.36;25;85.79;88.22;12.29;22.67;22.57;20.77;88.2;97.2;22.33;36.13
Antigua and Barbuda;0;none;0;none;High;Latin America and the Caribbean;76.1;32.26;0;24;0;0;22.9;0;16.3;86.83;88.46;0;0;24;12;0;0;0;0
Argentina;0;none;0;none;Very high;Latin America and the Caribbean;82.1;37.93;63.35;18.56;63.5;73.8;44.4;32.69;5;86.5;88.97;63.35;55.3;18.56;13.77;63.5;98.3;73.75;69.56
Azerbaijan;0;none;0;none;High;Northern Africa and Western Asia;33.3;40.08;84.76;0;0;27.7;18.6;36.18;5;88.03;90.26;84.76;92.24;0;0;0;0;27.72;29.44
Bahamas;0;none;0;none;Very high;Latin America and the Caribbean;78.8;25.08;82.46;0;0;0;20;0;16;86.79;89.13;82.46;81.22;0;0;0;0;0;0
Bahrain;0;none;0;none;Very high;Northern Africa and Western Asia;58.6;8.71;67.19;0;0;75.4;22.5;21.56;18.1;85.03;87.92;67.19;69.48;0;0;0;0;75.41;86.31
Barbados;0;none;0;none;High;Latin America and the Caribbean;75;41.86;82.29;25.88;77.3;0;32.7;49.27;16.2;87.14;89.14;82.29;65.66;25.88;32.15;77.3;88.4;0;0
Belarus;0;none;0;none;Very high;Europe and Northern America;71.4;11.19;95.13;7.24;0;81.3;34.7;47.18;6;87.12;89.46;95.13;96.66;7.24;8.19;0;0;81.34;80.93
Brunei Darussalam;0;none;0;none;Very high;Eastern Asia and South-Eastern Asia;86.7;9.52;62.3;19.98;63.7;0;8.8;42.61;3.4;87.77;88.84;62.3;63.65;19.98;17.49;63.7;93.7;0;0
Cabo Verde;0;none;0;none;Medium;Sub-Saharan Africa;76;53.99;19.81;29;84.8;0;41.7;46.03;11;86.24;89;19.81;20.29;29;27.1;84.8;98;0;0
Central African Republic;0;none;0;none;Low;Sub-Saharan Africa;37.6;159;9.5;0;0;9.7;12.9;0;21;86.11;88.59;9.5;20.3;0;0;0;0;9.72;18.08
Chad;0;none;0;none;Low;Sub-Saharan Africa;25.3;135.68;4.16;46.38;49.9;14.9;25.9;0;16;86.01;88.49;4.16;14.99;46.38;24.81;49.9;93.3;14.85;29.03
Comoros;0;none;0;none;Medium;Sub-Saharan Africa;41.4;56.08;0;24.88;56.1;17.9;16.7;51.13;8;86.55;88.4;0;0;24.88;20.69;56.1;92;17.89;25.7
Congo;0;none;0;none;Medium;Sub-Saharan Africa;51.3;101.2;5.3;22.84;0;43.8;15.9;0;33.8;85.52;88.32;5.3;12.4;22.84;21.58;0;0;43.79;50.61
Cuba;0;none;0;none;High;Latin America and the Caribbean;87.7;48.91;73.92;0;0;0;53.4;0;5;86.18;88.3;73.92;74.59;0;0;0;0;0;0
Djibouti;0;none;0;none;Low;Sub-Saharan Africa;51.5;22.68;0;27.98;15.7;8.8;23.1;12.31;26.9;86.9;89.25;0;0;27.98;17.58;15.7;74.8;8.76;16.63
Dominica;0;none;0;none;High;Latin America and the Caribbean;77.7;37.93;0;0;0;0;37.5;0;16.1;0;0;0;0;0;0;0;0;0;0
Equatorial Guinea;0;none;0;none;Medium;Sub-Saharan Africa;37.5;136.44;0;0;0;0;27;0;29;85.06;87.78;0;0;0;0;0;0;0;0
Eritrea;0;none;0;none;Low;Sub-Saharan Africa;33.1;63.64;0;0;0;0;22;0;26.9;86.04;87.95;0;0;0;0;0;0;0;0
Eswatini (Kingdom of);0;none;0;none;Medium;Sub-Saharan Africa;83.2;68.43;10.2;41.19;53.9;0;22.1;43.42;18;85.23;88.22;10.2;11.4;41.19;29.92;53.9;76.6;0;0
Ethiopia;0;none;0;none;Low;Sub-Saharan Africa;64.7;66.5;6.83;24.88;63.1;29.1;38.8;25.43;27;86.23;88.17;6.83;17.11;24.88;9.87;63.1;95.7;29.08;40.94
Fiji;0;none;0;none;High;Oceania (excluding Australia and New Zealand);64.6;26.14;50.6;29.59;40.7;0;10.9;38.89;23;86.43;88.79;50.6;45.07;29.59;10.83;40.7;96.7;0;0
Gabon;0;none;0;none;High;Sub-Saharan Africa;53.5;89.81;53.4;0;0;61.3;17.6;0;22;85.09;88.04;53.4;36.8;0;0;0;0;61.3;71.47
Georgia;0;none;0;none;Very high;Northern Africa and Western Asia;51.8;29.69;91.83;26.37;0;70.7;18.4;36.13;3;87.34;89.31;91.83;92.64;26.37;23.58;0;0;70.71;70.25
Grenada;0;none;0;none;High;Latin America and the Caribbean;76;32.14;0;31;74.3;0;31;0;8;86.76;88.63;0;0;31;29;74.3;100;0;0
Guinea-Bissau;0;none;0;none;Low;Sub-Saharan Africa;61.9;85.78;6.68;29.85;0;0;13.7;0;19.7;85.93;89.05;6.68;14.9;29.85;18.3;0;0;0;0
Guyana;0;none;0;none;High;Latin America and the Caribbean;55.6;64.64;35.93;53.58;40.9;0;36.6;46.79;10;86.09;88.15;35.93;31.28;53.58;38.89;40.9;81.6;0;0
Haiti;0;none;0;none;Low;Latin America and the Caribbean;50.2;51.84;14.3;27.88;65.4;30.1;2.7;0;12;86.11;88.22;14.3;40.9;27.88;14.25;65.4;94.7;30.05;35.35
Hong Kong, China (SAR);0;none;0;none;Very high;Eastern Asia and South-Eastern Asia;80.8;1.57;62.83;6.33;55.8;98.2;0;33.05;3;0;0;62.83;66.67;6.33;8.14;55.8;96.1;98.19;97.33
Kazakhstan;0;none;0;none;Very high;Central Asia and Southern Asia;75.9;20.88;96.9;9.9;0;83.6;25.6;41.11;6;86.83;89.14;96.9;97.97;9.9;4.8;0;0;83.63;78.29
Kiribati;0;none;0;none;Medium;Oceania (excluding Australia and New Zealand);48.1;39.59;0;49.77;46.4;0;6.7;43.35;25;87.34;89.87;0;0;49.77;45.51;46.4;76.7;0;0
Korea (Democratic People's Rep. of);0;none;0;none;Other countries or territories;Eastern Asia and South-Eastern Asia;84.3;2.45;0;0;0;0;17.6;0;7.7;87.96;91.35;0;0;0;0;0;0;0;0
Korea (Republic of);0;none;0;none;Very high;Eastern Asia and South-Eastern Asia;82.3;2.11;74.81;21;0;98.7;19.1;14.6;8;86.73;88.79;74.81;85.99;21;21;0;0;98.68;98.66
Kuwait;0;none;0;none;Very high;Northern Africa and Western Asia;67.2;5.3;41.57;0;0;73.5;6.3;13.61;18.1;84.69;87.71;41.57;27.99;0;0;0;0;73.46;83.31
Kyrgyzstan;0;none;0;none;Medium;Central Asia and Southern Asia;66.5;33.77;95.87;22.05;47.4;43.8;20;42.85;13;87.61;89.91;95.87;93.57;22.05;9.97;47.4;69;43.76;46.54
Libya;0;none;0;none;High;Northern Africa and Western Asia;39;6.99;64.8;0;0;59.6;16.5;0;18.3;84.69;87.48;64.8;33.3;0;0;0;0;59.62;70.69
Liechtenstein;0;none;0;none;Very high;Europe and Northern America;80.1;2.98;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0
Madagascar;0;none;0;none;Low;Sub-Saharan Africa;66.9;118.13;8.74;4.27;94;16.3;17.8;31.77;26.6;86.7;88.74;8.74;10.95;4.27;3.31;94;99.8;16.31;19.61
Malaysia;0;none;0;none;Very high;Eastern Asia and South-Eastern Asia;57.6;9.13;64.53;14.75;0;87.5;14.7;24.85;13.1;86.85;88.84;64.53;63.61;14.75;12.6;0;0;87.51;89.23
Marshall Islands;0;none;0;none;Medium;Oceania (excluding Australia and New Zealand);72.7;57.47;67.58;46.48;27.8;0;6.1;33.29;19;0;0;67.58;72;46.48;39.39;27.8;83.5;0;0
Mauritania;0;none;0;none;Medium;Sub-Saharan Africa;27.8;76.85;9.39;54.85;33.3;15.5;20.3;0;19.7;86.48;88.36;9.39;14.35;54.85;32.03;33.3;91.2;15.49;26.29
Micronesia (Federated States of);0;none;0;none;Medium;Oceania (excluding Australia and New Zealand);52.5;35.69;0;33.61;51.7;0;7.1;20.25;21;87.46;90.14;0;0;33.61;23.78;51.7;93.2;0;0
Monaco;0;none;0;none;Other countries or territories;Europe and Northern America;80.1;6.93;0;0;0;0;45.8;0;0;0;0;0;0;0;0;0;0;0;0
Morocco;0;none;0;none;Medium;Northern Africa and Western Asia;74.1;25.46;24.1;44.1;20.9;32.7;21.4;0;10;85.72;88.89;24.1;29.2;44.1;13.3;20.9;95.9;32.7;55.97
Mozambique;0;none;0;none;Low;Sub-Saharan Africa;57.7;165.14;8.08;41;90.3;38.7;43.2;24.33;16;85.46;87.96;8.08;14.73;41;33;90.3;94.6;38.69;61
Nauru;0;none;0;none;Other countries or territories;Oceania (excluding Australia and New Zealand);56.4;71.09;0;51.3;67.9;0;10.5;36.09;20;0;0;0;0;51.3;22.05;67.9;97.8;0;0
New Zealand;0;none;0;none;Very high;Australia and New Zealand;87.8;11.8;74.57;12.62;0;99.2;50;0;4;84.79;86.66;74.57;75.69;12.62;11.12;0;0;99.24;98.23
Nicaragua;0;none;0;none;Medium;Latin America and the Caribbean;88.1;83.96;38.8;40.07;47.4;21.6;51.6;35.21;6;86.25;88.33;38.8;30.13;40.07;8.49;47.4;99;21.57;30.94
Oman;0;none;0;none;Very high;Northern Africa and Western Asia;41.1;9.69;71.67;0;38.7;63.5;9.9;28.72;18;85.72;88.41;71.67;57.39;0;0;38.7;97.5;63.53;83.75
Palau;0;none;0;none;High;Oceania (excluding Australia and New Zealand);63.6;42.11;87.73;19.22;61.5;0;6.9;46.77;14;0;0;87.73;88.34;19.22;16.96;61.5;96.4;0;0
Palestine, State of;0;none;0;none;High;Northern Africa and Western Asia;63.7;42.9;47.09;33.19;21.2;25.9;0;19.83;19;0;0;47.09;44.74;33.19;23.37;21.2;94.3;25.93;41.44
Papua New Guinea;0;none;0;none;Medium;Oceania (excluding Australia and New Zealand);51;54.34;7.7;28.98;0;0;1.7;0;31;86.19;88.58;7.7;10.3;28.98;26.44;0;0;0;0
Qatar;0;none;0;none;Very high;Northern Africa and Western Asia;64.5;6.9;60.1;30.7;0;61.6;4.4;10.75;18;84.91;87.29;60.1;36.88;30.7;2.9;0;0;61.57;68.57
Russian Federation;0;none;0;none;Very high;Europe and Northern America;74.5;14.47;86.6;14.59;66.4;90.1;17.8;46.18;7.9;86.57;89.03;86.6;89.54;14.59;10.32;66.39;95.72;90.11;89.26
Saint Kitts and Nevis;0;none;0;none;High;Latin America and the Caribbean;75.1;36.76;0;20;0;0;31.3;0;16.2;0;0;0;0;20;17;0;0;0;0
Saint Lucia;0;none;0;none;High;Latin America and the Caribbean;75.4;36.26;43.99;23.47;69.7;0;24.1;47.3;16.2;85.74;88.36;43.99;38.89;23.47;30.29;69.7;97.9;0;0
Saint Vincent and the Grenadines;0;none;0;none;High;Latin America and the Caribbean;79.4;46.51;0;37;0;0;18.2;0;16.1;86.48;88.23;0;0;37;29;0;0;0;0
Samoa;0;none;0;none;High;Oceania (excluding Australia and New Zealand);31.2;43.77;74.63;35.57;51.8;0;13;43;18;87.01;89.35;74.63;70.39;35.57;22.38;51.8;88;0;0
San Marino;0;none;0;none;Very high;Europe and Northern America;80.1;3.65;56.04;0;0;0;33.3;0;6.5;0;0;56.04;51.63;0;0;0;0;0;0
Sao Tome and Principe;0;none;0;none;Medium;Sub-Saharan Africa;60.1;77.37;31.77;0;0;0;14.5;24.35;18;86.41;88.6;31.77;46.25;0;0;0;0;0;0
Saudi Arabia;0;none;0;none;Very high;Northern Africa and Western Asia;47.4;11.58;58.83;23.86;42.6;63.5;19.9;0;17.9;84.52;87.24;58.83;64.46;23.86;14.97;42.6;94.3;63.49;81.67
Seychelles;0;none;0;none;High;Sub-Saharan Africa;56.6;52.12;0;22.15;79.5;0;22.9;41.81;13.3;86.12;88.4;0;0;22.15;29.82;79.5;95.5;0;0
Solomon Islands;0;none;0;none;Medium;Oceania (excluding Australia and New Zealand);53.3;59.43;0;8.94;90;0;8;25.66;28;87.14;89.88;0;0;8.94;5.1;90;99;0;0
Somalia;0;none;0;none;Other countries or territories;Sub-Saharan Africa;7.6;116.07;0;49.73;0;33.7;20.7;29.39;27;86.63;89.46;0;0;49.73;37.23;0;0;33.66;43.57
South Sudan;0;none;0;none;Low;Sub-Saharan Africa;20.9;97.42;10.85;0;0;4.2;32.3;0;27;84.01;86.93;10.85;16.21;0;0;0;0;4.19;7.71
Sudan;0;none;0;none;Low;Northern Africa and Western Asia;35.2;77.58;11.1;46.42;0;10;31;0;17;85.2;88.17;11.1;7.1;46.42;19.98;0;0;9.98;20.22
Suriname;0;none;0;none;High;Latin America and the Caribbean;68.9;55.22;26.25;21.85;62.8;0;29.4;43.25;8;85.97;88.64;26.25;23.06;21.85;14.73;62.8;94.5;0;0
Syrian Arab Republic;0;none;0;none;Medium;Northern Africa and Western Asia;61.9;38.13;18.88;0;0;19.6;10.8;0;18.1;85.27;87.78;18.88;24.76;0;0;0;0;19.59;26.77
Tajikistan;0;none;0;none;Medium;Central Asia and Southern Asia;55.3;44.92;75.99;52.37;0;39.4;26.6;0;14;88.32;90.12;75.99;82.72;52.37;30.42;0;0;39.41;39.57
Timor-Leste;0;none;0;none;Medium;Eastern Asia and South-Eastern Asia;53;33.27;26.47;32.56;79.9;0;40;13.27;28;86.86;88.04;26.47;34.65;32.56;29.83;79.9;99;0;0
Tonga;0;none;0;none;High;Oceania (excluding Australia and New Zealand);49.1;19.25;68.4;23.28;0;0;7.1;35.68;17;86.64;89.79;68.4;62.46;23.28;13.82;0;0;0;0
Trinidad and Tobago;0;none;0;none;Very high;Latin America and the Caribbean;65.6;37.73;80.11;17.45;57;73.6;33.8;43.62;7;85.85;88.2;80.11;76.61;17.45;13.54;57;97.9;73.6;88.22
Turkmenistan;0;none;0;none;High;Central Asia and Southern Asia;76.4;21.18;0;19.3;0;35.5;25.9;0;7.1;88.07;90.14;0;0;19.3;0;0;0;35.52;45.71
Tuvalu;0;none;0;none;Medium;Oceania (excluding Australia and New Zealand);45.1;31.68;0;45.78;0;0;6.3;35.89;20;0;0;0;0;45.78;24.37;0;0;0;0
Ukraine;0;none;0;none;High;Europe and Northern America;74.2;15.18;89.33;19.65;0;80.7;20.4;41;9;87.18;89.12;89.33;84.44;19.65;13.46;0;0;80.69;87.07
Uzbekistan;0;none;0;none;High;Central Asia and Southern Asia;83.9;15.69;95.01;38.2;0;38.8;30;0;7.2;87.48;89.79;95.01;97.1;38.2;9.4;0;0;38.82;50.24
Vanuatu;0;none;0;none;Medium;Oceania (excluding Australia and New Zealand);60.9;63.16;0;38.7;66.7;0;1.9;37.1;29;87;90;0;0;38.7;30.13;66.7;85.7;0;0
Venezuela (Bolivarian Republic of);0;none;0;none;Medium;Latin America and the Caribbean;82.2;82.01;65.18;30.1;56.7;79.7;22.2;32.76;8;85.85;88.52;65.18;58.55;30.1;44.04;56.7;98;79.67;89.06
