country;wei;weg;ggpi;gender_parity_group;human_development_group;sustainable_development_goal_regions;family;birth_rate;education;youth_not_in_education ;labour_force_participation_rate;account_ownership;politics;managerial_positions;violence;good_health_female;good_health_male;secondary_education_female;secondary_education_male;youth_not_in_education_female;youth_not_in_education_male;labour_force_participation_female;labour_force_participation_male;account_ownershipt_female;account_ownershipt_male
Cyprus;0.65;Lower-middle;0.64;Lower-middle;Very high;Northern Africa and Western Asia;63.6;6.83;73.37;13.71;75.5;92.7;14.3;21.02;3;85.72;88.55;73.37;75.65;13.71;13.85;75.5;99.3;92.7;93.62
Czechia;0.71;Upper-middle;0.68;Lower-middle;Very high;Europe and Northern America;83.3;9.36;87.79;8.42;39;93.4;23.8;28.37;4;86.14;87.77;87.79;94.14;8.42;4.9;39;98.3;93.44;96.48
Denmark;0.8;High;0.85;High;Very high;Europe and Northern America;87.8;1.81;80.21;7.15;81.9;100;43.6;28.22;3;85.97;88.8;80.21;78.43;7.15;7.02;81.9;95.5;100;100
Dominican Republic;0.6;Lower-middle;0.77;Upper-middle;High;Latin America and the Caribbean;81.9;63.2;47.21;33.57;60.2;49;25.7;42.82;10;86.69;88.99;47.21;37.91;33.57;21.12;60.2;98.2;48.96;53.7
Ecuador;0.63;Lower-middle;0.75;Upper-middle;High;Latin America and the Caribbean;81.3;62.07;45.17;27.15;59.3;58;38.7;37.77;8;86.04;88.6;45.17;45.74;27.15;10.57;59.3;99.4;57.95;70.59
Egypt;0.47;Low;0.53;Low;High;Northern Africa and Western Asia;80.6;43.6;72.35;42.16;22.5;24.2;22.9;12.37;15;85.9;89.51;72.35;69.37;42.16;16.75;22.5;96.7;24.2;30.57
El Salvador;0.54;Low;0.66;Lower-middle;Medium;Latin America and the Caribbean;81.5;54.55;31.95;37.38;40.3;29.2;27.4;41.06;6;85.71;87.35;31.95;39.72;37.38;14.1;40.3;96.9;29.23;44.8
Estonia;0.75;Upper-middle;0.77;Upper-middle;Very high;Europe and Northern America;77.8;8.1;86.11;9.72;53.7;99.6;27.7;41.18;4;86.83;88.88;86.11;85.33;9.72;12.12;53.7;96.4;99.6;99.12
Finland;0.79;Upper-middle;0.86;High;Very high;Europe and Northern America;90.5;4.1;79.38;6.87;60.2;99.1;45.5;36.54;8;85.71;88.34;79.38;77.07;6.87;8.43;60.2;92.9;99.08;100
France;0.79;Upper-middle;0.86;High;Very high;Europe and Northern America;91.2;9.44;70.93;10.35;77.4;100;36.8;37.79;5;85.86;89.1;70.93;75.2;10.35;12.54;77.4;95.1;100;98.42
